hash,author,date,message
6932004966ab70ef47250a2b3152acd8c904e6b5,Bob Ippolito,2024-08-14,v3.19.3
aeb63ee451732b1e77008c28153380d8dd0fda20,Bob Ippolito,2023-04-06,v3.19.1
9559fc756deaf20b6bae961b58c5289d8582c8b7,Bob Ippolito,2023-03-14,Update CHANGES.txt for v3.18.4
c891b95f40711e3dcd23bd4180b5665dce3a2032,Bob Ippolito,2023-01-03,Update CHANGES.txt for v3.18.1
f7f03624aad489eaa852e1de9c24194a752fb2ab,Bob Ippolito,2022-11-16,Update version to v3.18.1 and update CHANGES for 
2c2c99830cca68cf7e2b7b67ff85397a7b032828,Bob Ippolito,2022-11-14,v3.18.0
06267cfd1f60f60e33fb13f7b863d207894505f4,Bob Ippolito,2021-11-15,v3.17.6
c51668542b406c5aadb052a1513245307cc8b014,Bob Ippolito,2020-07-16,v3.17.2
540950455a6c1c7d8e7a59d695308c8b62c5413a,Bob Ippolito,2020-07-16,v3.17.1
6cbbd1859f7ff219c19f68d3063842cdd6db1885,Bob Ippolito,2019-11-17,Set version back to v3.17.0
07a67957ddb2d55e6d8994474c0e18c9c7d967a7,Bob Ippolito,2019-11-17,Bump version to v3.18.0 to work around build issues
148d73cfeba67291cb5173fd3398f33845a9fea0,Bob Ippolito,2018-09-07,Update CHANGES for v3.16.1
26524a0d907dda3fee69055026922876b309f8f3,Bob Ippolito,2018-09-06,Prep for v3.16.1 and add JSON lines example
543b4232813d3be2231124d27f7ae9b95be1beb6,Bob Ippolito,2018-06-28,Update CHANGES for v3.16.0
67d48f67e601bd644f8de975c3287015e4258be2,Bob Ippolito,2018-05-12,v3.15.0
729945a655b2c351ad4c91293a494c066f3bb152,Bob Ippolito,2018-04-21,v3.14.0
3cf08530a1be05cbaa80b167fe7f335b13cbc869,Bob Ippolito,2017-11-24,v3.13.2
42ec87d0a3c14b8d4536900868e6a95d96431672,Bob Ippolito,2017-11-24,v3.13.1
61fae0c2dac6a0769a0b6e49320e613e498adc11,Bob Ippolito,2017-11-23,v3.12.1
fe3ab46207309c703ef011945ac08bbbeb4cc72c,Bob Ippolito,2017-06-19,v3.11.1
52550b07f2e39d53d55ec13aedc5421959168ecd,Bob Ippolito,2017-06-18,v3.11.0
c52efea57d0f733d28eb991eeebb121c53b3a48a,Bob Ippolito,2016-10-28,v3.10.0
38f8c2e3a43a884d1e7b49941d4472887804613c,Bob Ippolito,2016-10-21,v3.9.0
d52cd59d28766c72314537e2a087665b8b54fa9b,Bob Ippolito,2014-10-24,update CHANGES and bump version to v3.6.5
77437f037f99e9df49dab740b32bdb20af93af44,Bob Ippolito,2014-09-29,update version for v3.6.4
46d42a5245607745eb39da83f0ca250d9c3eff52,Bob Ippolito,2014-07-21,v3.6.0
a19d53c1df389648b31619eda67cb178f8f00036,Bob Ippolito,2014-05-23,update version for v3.5.2
6175d2919e8a24260cfce3c489ba7d0a0bdb8e84,Bob Ippolito,2014-04-02,bump to v3.4.0
7d4ea580816a52fb2d762464cdf66108956abdc2,Bob Ippolito,2014-01-06,update CHANGES.txt for v3.3.2
dec10d8994ca899009fee3bd3b015a3c6d0db0d6,Bob Ippolito,2013-04-06,update CHANGES for v3.1.3
ceb0f979b1c4bd40e7940637f93ddc59b441a532,Bob Ippolito,2013-04-05,v3.1.3 - docs update to discourage subclassing
cd05883e357f481d2eefc06a3367d18b1054e4af,Bob Ippolito,2013-03-20,tag v3.1.2
062aa98fe19c9536b6ede4c0b84f5f3e6711b768,Bob Ippolito,2013-02-21,tag v3.1.1
6ea4ac7c6bae7e6d8605ffd50c6ab314276ef9ac,Bob Ippolito,2013-02-21,tag v3.1.0
0cb8be97d96ef319f32666b5f5bd23ddcbb9066e,Bob Ippolito,2013-01-11,v3.0.7 now dual-licensed MIT or AFL v2.1
dd76051b3f65625635d39277daf60135215c9d10,Bob Ippolito,2012-12-30,add date for v3.0.0
